충전소명,주소,ID,충전기 형태,충전기 용량
(RS)대구시_효목2동,"대구 동구 화랑로25길 45(효목동, 효목2동행정복지센터)",01,3Mode,100
(RS)대구시_효목1동 행정복지센터,"대구 동구 화랑로41길 46(효목동, 효목1동행정복지센터) 효목1동 행정복지센터",01,3Mode,50
(RS)대구시_황금1동 행정복지센터,"대구 수성구 청호로57길 10(황금동, 황금1동 행정복지센터) 황금1동 행정복지센터",01,3Mode,50
(RS)대구시_현풍읍행정복지센터,"대구 달성군 현풍읍 비슬로134길 157(부리, 현풍읍사무소) 지상1층 주차장",01,AC완속(싱글),7
(RS)대구시_해안동행복복지센터,"대구 동구 방촌로29길 46(방촌동, 해안동행정복지센터) 지상1층 주차장",01,3Mode,50
(RS)대구시_한국산업단지공단달성사무소,"대구 달성군 구지면 달성2차동1로 109(내리, 달성2차단지공단관리청) 지상1층 주차장",01,3Mode,50
(RS)대구시_한국도로공사(유천IC),"대구 달성군 화원읍 성천로 208(구라리, 유천IC) 지상1층 하이패스 고객 서비스센터 옆",01,3Mode,50
(RS)대구시_한국도로공사(유천IC),"대구 달성군 화원읍 성천로 208(구라리, 유천IC) 지상1층 하이패스 고객 서비스센터 옆",02,3Mode,50
(RS)대구시_한국도로공사 칠곡영업소,대구 북구 관음로 41(관음동) 지상1층 주차장,01,3Mode,50
(RS)대구시_하빈무등리공영주차장,"대구 달성군 하빈면 무등리 530-1 (무등리, 공영주차장) 지상1층 주차장",01,AC완속(싱글),7
(RS)대구시_하빈면사무소,"대구 달성군 하빈면 하빈로84길 1(현내리, 하빈면사무소) 하빈 면사무소",01,3Mode,50
(RS)대구시_평리3동행정복지센터,"대구 서구 문화로 261(평리동, 평리3동 주민센터) 지상1층 주차장",01,AC완속(싱글),7
(RS)대구시_평리1동행정복지센터,"대구 서구 문화로 280(평리동, 평리1동 주민센터) 지상1층 주차장",01,AC완속(싱글),7
(RS)대구시_펙스코 패션디자인개발지원센터,"대구 북구 유통단지로14길 17(산격동, 펙스코) 지상1층 주차장",01,3Mode,50
(RS)대구시_파동교네거리주차장,"대구광역시 수성구 파동 274(파동, 공영주차장) 지상1층 주차장",01,3Mode,50
(RS)대구시_파계사주차장,"대구광역시 동구 파계로 741 (중대동, 파계사) 지상1층 주차장",02,AC완속(싱글),7
(RS)대구시_파계사주차장,"대구광역시 동구 파계로 741 (중대동, 파계사) 지상1층 주차장",01,3Mode,50
(RS)대구시_태전공원,"대구 북구 영송로 70(태전동, 태전공원) 지상1층 주차장",01,3Mode,100
(RS)대구시_태전2동,"대구 북구 칠곡중앙대로52길 32(태전동, 태전2동 행정복지센터)",01,3Mode,100
(RS)대구시_태전1동 행정복지센터,대구 북구 태전로7길 10-24 태전1동 행정복지센터,01,3Mode,50
(RS)대구시_침산푸르지오,"대구 북구 침산로21길 23(칠성동2가, 침산1차푸르지오)",02,AC완속(싱글),7
(RS)대구시_침산푸르지오,"대구 북구 침산로21길 23(칠성동2가, 침산1차푸르지오)",03,AC완속(싱글),7
(RS)대구시_침산푸르지오,"대구 북구 침산로21길 23(칠성동2가, 침산1차푸르지오)",01,3Mode,50
(RS)대구시_칠성동,"대구 북구 칠성로19길 4(칠성동2가, 칠성동 행정복지센터) 지상1층 주차장",01,3Mode,100
(RS)대구시_충혼탑,"대구 남구 앞산순환로 540(대명동, 충혼탑) 지상1층 주차장",02,AC완속(싱글),7
(RS)대구시_충혼탑,"대구 남구 앞산순환로 540(대명동, 충혼탑) 지상1층 주차장",01,3Mode,50
(RS)대구시_첨단의료산업진흥재단,"대구 동구 동내로 88(동내동, 커뮤니케이션센터) 지상1층 주차장",01,3Mode,50
