release_year,genres,popularity,vote,profit,revenue
1916,Drama,3.232447,7.4,21.75330066570443,8394751.0
1925,Drama,0.785744,7.0,89.79591836734694,22000000.0
1925,Romance,0.785744,7.0,89.79591836734694,22000000.0
1925,War,0.785744,7.0,89.79591836734694,22000000.0
1927,Drama,32.351527,8.0,0.007022478946231915,650422.0
1927,Science Fiction,32.351527,8.0,0.007022478946231915,650422.0
1929,Drama,1.3965245,6.3,11.49868073878628,2179000.0
1929,Music,0.968865,5.0,11.49868073878628,4358000.0
1929,Romance,1.3965245,6.3,11.49868073878628,2179000.0
1929,Thriller,1.824184,7.6,,0.0
1930,Action,8.484123,6.1,2.0253164556962027,8000000.0
1930,Drama,8.484123,6.1,2.0253164556962027,8000000.0
1930,History,8.484123,6.1,2.0253164556962027,8000000.0
1932,Drama,1.199451,6.2,6.25,25.0
1932,Romance,1.199451,6.2,6.25,25.0
1932,War,1.199451,6.2,6.25,25.0
1933,Comedy,1.2780589999999998,5.6,8.097949886104784,2240500.0
1933,Music,1.933366,6.1,5.195899772209567,2281000.0
1933,Romance,1.933366,6.1,5.195899772209567,2281000.0
1934,Comedy,11.871424,7.7,13.846153846153847,4500000.0
1934,Romance,11.871424,7.7,13.846153846153847,4500000.0
1935,Comedy,3.898498,7.4,5.257799671592775,3202000.0
1935,Music,3.898498,7.4,5.257799671592775,3202000.0
1935,Romance,3.898498,7.4,5.257799671592775,3202000.0
1936,Action,2.968235,6.8,2.28,2736000.0
1936,Adventure,2.968235,6.8,2.28,2736000.0
1936,Comedy,28.27648,8.1,8500000.0,8500000.0
1936,Drama,15.6223575,7.449999999999999,4250001.14,5618000.0
1936,War,2.968235,6.8,2.28,2736000.0
1937,Adventure,4.021389,8.4,,0.0
1937,Animation,80.171283,6.9,124.24256142239135,184925486.0
1937,Drama,4.021389,8.4,,0.0
1937,Family,80.171283,6.9,124.24256142239135,184925486.0
1937,Fantasy,80.171283,6.9,124.24256142239135,184925486.0
1937,Romance,4.021389,8.4,,0.0
1938,Comedy,3.426314,7.2,4.5193277218957935,7433101.0
1938,Drama,0.483974,4.8,2.0,4000000.0
1938,Music,0.483974,4.8,2.0,4000000.0
1938,Romance,1.955144,6.0,3.2596638609478967,5716550.5
1939,Adventure,67.417542,7.4,12.15519157364062,33754967.0
1939,Comedy,12.2624,7.9,6.4,9600000.0
1939,Drama,30.622475,7.800000000000001,53.222057375000006,204888229.5
1939,Family,67.417542,7.4,12.15519157364062,33754967.0
1939,Fantasy,67.417542,7.4,12.15519157364062,33754967.0
1939,Romance,48.98255,7.7,100.04411475,400176459.0
1939,War,48.98255,7.7,100.04411475,400176459.0
1940,Adventure,1.867004,6.5,4.586,9172000.0
1940,Animation,39.44173,7.050000000000001,34.483468286099864,83810000.0
1940,Drama,7.191520666666668,6.866666666666667,4.622192546583851,5057333.333333333
1940,Family,26.721397666666665,6.833333333333333,34.483468286099864,55873333.333333336
1940,Fantasy,1.280733,6.4,,0.0
1940,Music,32.875469,7.2,36.54385964912281,83320000.0
1940,Mystery,18.426825,7.7,4.658385093167702,6000000.0
1940,Romance,1.867004,6.5,4.586,9172000.0
1941,Drama,7.70019,6.8,4.8,6000000.0
