"동별(1)",동별(2),동별(3),2024 2/4,2024 2/4,2024 2/4,2024 2/4,2024 2/4,2024 2/4,2024 2/4,2024 2/4,2024 2/4,2024 2/4,2024 2/4,2024 2/4
"동별(1)",동별(2),동별(3),세대 (세대),계 (명),계 (명),계 (명),한국인 (명),한국인 (명),한국인 (명),등록외국인 (명),등록외국인 (명),등록외국인 (명),세대당인구 (명),65세이상고령자 (명)
"동별(1)",동별(2),동별(3),소계,소계,남자,여자,소계,남자,여자,소계,남자,여자,소계,소계
"합계",소계,소계,4486014,9619861,4634458,4985403,9366283,4524862,4841421,253578,109596,143982,2.09,1785286
"합계",종로구,소계,72394,150204,71684,78520,139189,67005,72184,11015,4679,6336,1.92,29338
"합계",종로구,사직동,4559,9249,4097,5152,8977,3937,5040,272,160,112,1.97,1895
"합계",종로구,삼청동,1113,2449,1174,1275,2226,1061,1165,223,113,110,2.00,647
"합계",종로구,부암동,4115,9346,4415,4931,9042,4251,4791,304,164,140,2.20,1939
"합계",종로구,평창동,7127,17460,8107,9353,17262,8004,9258,198,103,95,2.42,3736
"합계",종로구,무악동,3006,7968,3661,4307,7938,3645,4293,30,16,14,2.64,1543
"합계",종로구,교남동,4333,9851,4534,5317,9682,4443,5239,169,91,78,2.23,1731
"합계",종로구,가회동,1886,3915,1844,2071,3814,1789,2025,101,55,46,2.02,852
"합계",종로구,종로1.2.3.4가동,4932,8435,4904,3531,6702,4043,2659,1733,861,872,1.36,1811
"합계",종로구,종로5.6가동,3555,5778,3025,2753,5317,2795,2522,461,230,231,1.50,1101
"합계",종로구,이화동,4321,7537,3483,4054,6973,3252,3721,564,231,333,1.61,1392
"합계",종로구,창신1동,2602,5366,2821,2545,4482,2365,2117,884,456,428,1.72,1264
"합계",종로구,창신2동,3961,8664,4466,4198,7451,3845,3606,1213,621,592,1.88,1969
"합계",종로구,창신3동,2765,6533,3221,3312,6328,3113,3215,205,108,97,2.29,1372
"합계",종로구,숭인1동,2992,6089,2920,3169,5764,2787,2977,325,133,192,1.93,1321
