연번,역번호,호선,역명,역전화번호,Unnamed: 5,도로명주소,지번주소,Latitude,Longitude
1,150,1,서울,02-6110-1331,,서울특별시 중구 세종대로 지하2(남대문로 5가),서울특별시 중구 남대문로5가 73-6 서울역(1호선),37.5569016,126.9725598
2,151,1,시청,02-6110-1321,,서울특별시 중구 세종대로 지하101(정동),서울특별시 중구 정동 5-5 시청역(1호선),37.5656072,126.9769446
3,152,1,종각,02-6110-1311,,서울특별시 종로구 종로 지하55(종로1가),서울특별시 종로구 종로1가 54 종각역(1호선),37.5702322,126.9814161
4,153,1,종로3가,02-6110-1301,,서울특별시 종로구 종로 지하129(종로3가),서울특별시 종로구 종로3가 10-5 종로3가역(1호선),37.570436,126.992148
5,154,1,종로5가,02-6110-1291,,서울특별시 종로구 종로 지하216(종로5가),서울특별시 종로구 종로5가 82-1 종로5가역(1호선),37.570988,127.001921
6,155,1,동대문,02-6110-1281,,서울특별시 종로구 종로 지하302(창신동),서울특별시 종로구 창신동 492-1 동대문역(1호선),37.5754116,127.0124487
7,156,1,신설동,02-6110-1261,,서울특별시 동대문구 왕산로 지하1(신설동),서울특별시 동대문구 신설동 76-5 신설동역(1호선),37.5764583,127.0259609
8,157,1,제기동,02-6110-1251,,서울특별시 동대문구 왕산로 지하93(제기동),서울특별시 동대문구 제기동 65 제기동역(1호선),37.5781758,127.0345907
9,158,1,청량리(서울시립대입구),02-6110-1241,,서울특별시 동대문구 왕산로 지하205(전농동),서울특별시 동대문구 전농동 620-69 청량리역(1호선),37.5798174,127.0460265
10,159,1,동묘앞,02-6110-1271,,서울특별시 종로구 종로 359(숭인동),서울특별시 종로구 숭인동 117 동묘앞역(1호선),37.5735962,127.0171394
12,202,2,을지로입구,02-6110-2021,,서울특별시 중구 을지로 지하42(을지로1가),서울특별시 중구 을지로1가 100-1 을지로입구역(2호선),37.5659874,126.9805864
13,203,2,을지로3가,02-6110-2031,,서울특별시 중구 을지로 지하106(을지로3가),서울특별시 중구 을지로3가 347-3 을지로3가역(2호선),37.5663261,126.9922084
14,204,2,을지로4가,02-6110-2041,,서울특별시 중구 을지로 지하178(을지로4가),서울특별시 중구 을지로4가 267-1 을지로4가역(2호선),37.566621,126.997733
15,205,2,동대문역사문화공원(DDP),02-6110-2051,,서울특별시 중구 을지로 지하279(을지로7가),서울특별시 중구 을지로 7가 112-3 동대문역사문화공원역(2호선),37.565682,127.008953
16,206,2,신당,02-6110-2061,,서울특별시 중구 퇴계로 지하431-1(신당동),서울특별시 중구 신당동 99 신당역(2호선),37.5654324,127.020067
17,207,2,상왕십리,02-6110-2071,,서울특별시 성동구 왕십리로 지하374(하왕십리동),서울특별시 성동구 하왕십리동 946-14 상왕십리역(2호선),37.5639729,127.0298084
18,208,2,왕십리(성동구청),02-6110-2081,,서울특별시 성동구 왕십리로 지하300(행당동),서울특별시 성동구 행당동 192 왕십리역(2호선),37.5611965,127.0360792
19,209,2,한양대,02-6110-2091,,서울특별시 성동구 왕십리로 206(행당동),서울특별시 성동구 행당동 산17 한양대역(2호선),37.5539567,127.0458359
20,210,2,뚝섬,02-6110-2101,,서울특별시 성동구 아차산로 18(성수동1가),서울특별시 성동구 성수동1가 656-745 뚝섬역(2호선),37.5396996,127.0462703
